ISO_lokal	MJD	UTC	Kryo 1 In	Kryo 1 In_ohm	Kryo 1	Kryo 1_ohm	Kryo 1b	Kryo 1b_ohm	Peltier	Peltier_ohm	Peltier b	Peltier b_ohm	Kryo 2 In	Kryo 2 In_ohm	Kryo 2	Kryo 2_ohm	Kryo 2b	Kryo 2b_ohm	Kryo 3 In	Kryo 3 In_ohm	Kryo 3	Kryo 3_ohm	Kryo 3b	Kryo 3b_ohm	Kryo 4 In	Kryo 4 In_ohm	Kryo 4	Kryo 4_ohm	Kryo 4b	Kryo 4b_ohm	Kryo 5 In	Kryo 5 In_ohm	Kryo 5	Kryo 5_ohm	Kryo 5b	Kryo 5b_ohm	Kryo 6 In	Kryo 6 In_ohm	Kryo 6	Kryo 6_ohm	Kryo 6b	Kryo 6b_ohm	Kryo 7 In	Kryo 7 In_ohm	Kryo 7	Kryo 7_ohm	Kryo 9	Kryo 9_ohm	Kryo 9b	Kryo 9b_ohm	Kryo 8 In	Kryo 8 In_ohm	Kryo 8	Kryo 8_ohm
2026-03-30T00:00:01	61128.916685	2026-03-29T22:00:01Z	297.211	109.370	297.250	109.386	297.260	109.390	NaN	500.044	NaN	499.966	297.158	109.350	297.137	109.342	297.166	109.353	283.365	103.986	288.608	106.028	295.724	108.793	295.727	108.794	NaN	335.822	289.318	106.304	288.979	106.172	296.255	108.999	292.845	107.675	297.214	109.371	296.716	109.178	296.501	109.095	296.358	109.039	295.733	108.797	NaN	500.189	NaN	500.044	296.913	109.255	296.012	108.905
2026-03-30T00:00:06	61128.916742	2026-03-29T22:00:06Z	297.224	109.375	297.229	109.377	297.275	109.395	NaN	500.044	NaN	499.966	297.146	109.345	297.126	109.337	297.192	109.363	283.374	103.990	288.600	106.025	295.750	108.803	295.710	108.788	NaN	335.661	289.334	106.310	288.962	106.166	296.268	109.004	292.858	107.680	297.211	109.370	296.732	109.184	296.497	109.093	296.350	109.036	295.738	108.798	NaN	500.189	NaN	500.044	296.922	109.258	296.025	108.910
2026-03-30T00:00:11	61128.916800	2026-03-29T22:00:11Z	297.209	109.369	297.242	109.382	297.272	109.394	NaN	500.044	NaN	499.966	297.161	109.351	297.125	109.337	297.184	109.360	283.345	103.978	288.607	106.027	295.722	108.792	295.724	108.793	NaN	335.682	289.330	106.309	288.970	106.169	296.257	109.000	292.842	107.674	297.226	109.376	296.734	109.185	296.479	109.086	296.363	109.041	295.728	108.795	NaN	500.189	NaN	500.044	296.891	109.246	295.990	108.896
2026-03-30T00:00:16	61128.916858	2026-03-29T22:00:16Z	297.235	109.380	297.259	109.389	297.274	109.395	NaN	500.044	NaN	499.966	297.159	109.350	297.130	109.339	297.194	109.364	283.350	103.980	288.628	106.036	295.744	108.801	295.708	108.787	NaN	335.723	289.321	106.305	288.970	106.168	296.268	109.004	292.846	107.675	297.233	109.379	296.744	109.189	296.492	109.091	296.349	109.036	295.742	108.800	NaN	500.189	NaN	500.044	296.890	109.246	295.984	108.894
2026-03-30T00:00:21	61128.916916	2026-03-29T22:00:21Z	297.223	109.375	297.280	109.397	297.247	109.384	NaN	500.044	NaN	499.966	297.155	109.349	297.100	109.327	297.185	109.360	283.367	103.987	288.616	106.031	295.727	108.794	295.751	108.804	NaN	335.938	289.350	106.316	288.970	106.169	296.275	109.007	292.849	107.676	297.225	109.376	296.727	109.182	296.493	109.092	296.359	109.040	295.744	108.801	NaN	500.189	NaN	500.044	296.907	109.252	295.981	108.893
2026-03-30T00:00:26	61128.916974	2026-03-29T22:00:26Z	297.230	109.378	297.237	109.380	297.287	109.400	NaN	500.044	NaN	499.966	297.150	109.347	297.145	109.345	297.211	109.370	283.345	103.978	288.624	106.034	295.729	108.795	295.714	108.789	NaN	335.817	289.345	106.314	288.971	106.169	296.243	108.995	292.865	107.683	297.234	109.379	296.746	109.190	296.477	109.085	296.319	109.024	295.723	108.793	NaN	500.189	NaN	500.044	296.886	109.244	295.978	108.892
2026-03-30T00:00:31	61128.917032	2026-03-29T22:00:31Z	297.220	109.374	297.252	109.386	297.267	109.392	NaN	500.044	NaN	499.966	297.146	109.345	297.121	109.335	297.180	109.358	283.349	103.980	288.604	106.026	295.735	108.798	295.710	108.788	NaN	336.108	289.333	106.310	288.980	106.173	296.264	109.003	292.835	107.671	297.229	109.377	296.731	109.184	296.469	109.082	296.345	109.034	295.742	108.800	NaN	500.189	NaN	500.044	296.919	109.257	296.006	108.902
2026-03-30T00:00:36	61128.917090	2026-03-29T22:00:36Z	297.203	109.367	297.234	109.379	297.293	109.402	NaN	500.044	NaN	499.966	297.148	109.346	297.125	109.337	297.190	109.362	283.354	103.982	288.598	106.024	295.727	108.794	295.717	108.790	NaN	336.014	289.352	106.317	288.974	106.170	296.253	108.998	292.830	107.669	297.183	109.360	296.718	109.179	296.484	109.088	296.344	109.034	295.714	108.789	NaN	500.189	NaN	500.044	296.920	109.257	296.011	108.905
2026-03-30T00:00:41	61128.917148	2026-03-29T22:00:41Z	297.207	109.369	297.255	109.387	297.265	109.391	NaN	500.044	NaN	499.966	297.165	109.352	297.127	109.338	297.191	109.363	283.352	103.981	288.607	106.027	295.742	108.800	295.727	108.794	NaN	335.805	289.346	106.315	288.984	106.174	296.270	109.005	292.854	107.678	297.217	109.373	296.737	109.186	296.480	109.087	296.357	109.039	295.745	108.801	NaN	500.189	NaN	500.044	296.906	109.252	296.002	108.901
2026-03-30T00:00:46	61128.917205	2026-03-29T22:00:46Z	297.231	109.378	297.244	109.383	297.272	109.394	NaN	500.044	NaN	499.966	297.152	109.348	297.117	109.334	297.181	109.359	283.355	103.982	288.608	106.028	295.744	108.801	295.704	108.785	NaN	335.691	289.331	106.309	288.948	106.160	296.252	108.998	292.848	107.676	297.234	109.379	296.733	109.185	296.504	109.096	296.373	109.045	295.742	108.800	NaN	500.189	NaN	500.044	296.913	109.255	295.990	108.896
