ISO_lokal	MJD	UTC	CENT	CENT_status	CENT_kal	DOOR	DOOR_status	DOOR_kal	BA	BA_status	BA_kal
2026-03-21T00:00:01	61119.958355	2026-03-20T23:00:01Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-21T00:00:06	61119.958413	2026-03-20T23:00:06Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-21T00:00:11	61119.958471	2026-03-20T23:00:11Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-21T00:00:16	61119.958529	2026-03-20T23:00:16Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-21T00:00:21	61119.958587	2026-03-20T23:00:21Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-21T00:00:26	61119.958645	2026-03-20T23:00:26Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-21T00:00:31	61119.958702	2026-03-20T23:00:31Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-21T00:00:36	61119.958760	2026-03-20T23:00:36Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-21T00:00:41	61119.958818	2026-03-20T23:00:41Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-21T00:00:46	61119.958876	2026-03-20T23:00:46Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-21T00:00:51	61119.958934	2026-03-20T23:00:51Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-21T00:00:56	61119.958992	2026-03-20T23:00:56Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-21T00:01:01	61119.959050	2026-03-20T23:01:01Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-21T00:01:06	61119.959107	2026-03-20T23:01:06Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-21T00:01:11	61119.959166	2026-03-20T23:01:11Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-21T00:01:16	61119.959224	2026-03-20T23:01:16Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
