ISO_lokal	MJD	UTC	CENT	CENT_status	DOOR	DOOR_status	BA	BA_status
2026-03-18T17:41:04	61117.695188	2026-03-18T16:41:04Z	NaN	unbekannt	NaN	unbekannt	NaN	unbekannt
2026-03-18T17:41:06	61117.695218	2026-03-18T16:41:06Z	NaN	unbekannt	NaN	unbekannt	NaN	unbekannt
2026-03-18T17:41:11	61117.695275	2026-03-18T16:41:11Z	NaN	unbekannt	NaN	unbekannt	NaN	unbekannt
2026-03-18T17:41:16	61117.695333	2026-03-18T16:41:16Z	NaN	unbekannt	NaN	unbekannt	NaN	unbekannt
2026-03-18T17:41:21	61117.695391	2026-03-18T16:41:21Z	NaN	unbekannt	NaN	unbekannt	NaN	unbekannt
2026-03-18T17:41:26	61117.695449	2026-03-18T16:41:26Z	NaN	unbekannt	NaN	unbekannt	NaN	unbekannt
2026-03-18T17:41:31	61117.695506	2026-03-18T16:41:31Z	NaN	unbekannt	NaN	unbekannt	NaN	unbekannt
2026-03-18T17:41:36	61117.695564	2026-03-18T16:41:36Z	NaN	unbekannt	NaN	unbekannt	NaN	unbekannt
2026-03-18T17:41:41	61117.695622	2026-03-18T16:41:41Z	NaN	unbekannt	NaN	unbekannt	NaN	unbekannt
2026-03-18T17:41:46	61117.695680	2026-03-18T16:41:46Z	NaN	unbekannt	NaN	unbekannt	NaN	unbekannt
2026-03-18T17:41:51	61117.695738	2026-03-18T16:41:51Z	NaN	unbekannt	NaN	unbekannt	NaN	unbekannt
2026-03-18T17:41:56	61117.695796	2026-03-18T16:41:56Z	NaN	unbekannt	NaN	unbekannt	NaN	unbekannt
2026-03-18T17:42:01	61117.695854	2026-03-18T16:42:01Z	NaN	unbekannt	NaN	unbekannt	NaN	unbekannt
2026-03-18T17:42:06	61117.695911	2026-03-18T16:42:06Z	NaN	unbekannt	NaN	unbekannt	NaN	unbekannt
2026-03-18T17:42:11	61117.695969	2026-03-18T16:42:11Z	NaN	unbekannt	NaN	unbekannt	NaN	unbekannt
2026-03-18T17:42:16	61117.696027	2026-03-18T16:42:16Z	NaN	unbekannt	NaN	unbekannt	NaN	unbekannt
2026-03-18T17:42:21	61117.696085	2026-03-18T16:42:21Z	NaN	unbekannt	NaN	unbekannt	NaN	unbekannt
2026-03-18T17:43:26	61117.696833	2026-03-18T16:43:26Z	NaN	unbekannt	NaN	unbekannt	NaN	unbekannt
2026-03-18T17:43:28	61117.696862	2026-03-18T16:43:28Z	NaN	unbekannt	NaN	unbekannt	NaN	unbekannt
2026-03-18T17:43:33	61117.696920	2026-03-18T16:43:33Z	NaN	unbekannt	NaN	unbekannt	NaN	unbekannt
2026-03-18T17:43:38	61117.696979	2026-03-18T16:43:38Z	NaN	unbekannt	NaN	unbekannt	NaN	unbekannt
2026-03-18T17:43:43	61117.697036	2026-03-18T16:43:43Z	NaN	unbekannt	NaN	unbekannt	NaN	unbekannt
2026-03-18T17:43:48	61117.697094	2026-03-18T16:43:48Z	NaN	unbekannt	NaN	unbekannt	NaN	unbekannt
2026-03-18T17:43:53	61117.697152	2026-03-18T16:43:53Z	NaN	unbekannt	NaN	unbekannt	NaN	unbekannt
2026-03-18T17:43:58	61117.697210	2026-03-18T16:43:58Z	NaN	unbekannt	NaN	unbekannt	NaN	unbekannt
2026-03-18T17:44:03	61117.697268	2026-03-18T16:44:03Z	NaN	unbekannt	NaN	unbekannt	NaN	unbekannt
2026-03-18T17:44:08	61117.697325	2026-03-18T16:44:08Z	NaN	unbekannt	NaN	unbekannt	NaN	unbekannt
2026-03-18T17:44:13	61117.697383	2026-03-18T16:44:13Z	NaN	unbekannt	NaN	unbekannt	NaN	unbekannt
2026-03-18T17:44:18	61117.697441	2026-03-18T16:44:18Z	NaN	unbekannt	NaN	unbekannt	NaN	unbekannt
2026-03-18T17:44:23	61117.697499	2026-03-18T16:44:23Z	NaN	unbekannt	NaN	unbekannt	NaN	unbekannt
2026-03-18T17:44:28	61117.697557	2026-03-18T16:44:28Z	NaN	unbekannt	NaN	unbekannt	NaN	unbekannt
2026-03-18T17:44:33	61117.697615	2026-03-18T16:44:33Z	NaN	unbekannt	NaN	unbekannt	NaN	unbekannt
2026-03-18T17:44:38	61117.697672	2026-03-18T16:44:38Z	NaN	unbekannt	NaN	unbekannt	NaN	unbekannt
2026-03-18T17:44:43	61117.697730	2026-03-18T16:44:43Z	NaN	unbekannt	NaN	unbekannt	NaN	unbekannt
2026-03-18T17:44:48	61117.697789	2026-03-18T16:44:48Z	NaN	unbekannt	NaN	unbekannt	NaN	unbekannt
2026-03-18T17:44:53	61117.697846	2026-03-18T16:44:53Z	NaN	unbekannt	NaN	unbekannt	NaN	unbekannt
2026-03-18T17:44:58	61117.697904	2026-03-18T16:44:58Z	NaN	unbekannt	NaN	unbekannt	NaN	unbekannt
2026-03-18T17:45:03	61117.697962	2026-03-18T16:45:03Z	NaN	unbekannt	NaN	unbekannt	NaN	unbekannt
2026-03-18T17:45:08	61117.698020	2026-03-18T16:45:08Z	NaN	unbekannt	NaN	unbekannt	NaN	unbekannt
2026-03-18T17:45:13	61117.698077	2026-03-18T16:45:13Z	NaN	unbekannt	NaN	unbekannt	NaN	unbekannt
2026-03-18T17:45:18	61117.698135	2026-03-18T16:45:18Z	NaN	unbekannt	NaN	unbekannt	NaN	unbekannt
2026-03-18T17:45:23	61117.698194	2026-03-18T16:45:23Z	NaN	unbekannt	NaN	unbekannt	NaN	unbekannt
2026-03-18T17:45:28	61117.698252	2026-03-18T16:45:28Z	NaN	unbekannt	NaN	unbekannt	NaN	unbekannt
2026-03-18T17:45:33	61117.698309	2026-03-18T16:45:33Z	NaN	unbekannt	NaN	unbekannt	NaN	unbekannt
2026-03-18T17:45:38	61117.698367	2026-03-18T16:45:38Z	NaN	unbekannt	NaN	unbekannt	NaN	unbekannt
2026-03-18T17:45:43	61117.698425	2026-03-18T16:45:43Z	NaN	unbekannt	NaN	unbekannt	NaN	unbekannt
2026-03-18T17:45:48	61117.698483	2026-03-18T16:45:48Z	NaN	unbekannt	NaN	unbekannt	NaN	unbekannt
2026-03-18T17:45:53	61117.698541	2026-03-18T16:45:53Z	NaN	unbekannt	NaN	unbekannt	NaN	unbekannt
2026-03-18T17:45:58	61117.698599	2026-03-18T16:45:58Z	NaN	unbekannt	NaN	unbekannt	NaN	unbekannt
2026-03-18T17:46:03	61117.698657	2026-03-18T16:46:03Z	NaN	unbekannt	NaN	unbekannt	NaN	unbekannt
2026-03-18T17:46:08	61117.698714	2026-03-18T16:46:08Z	NaN	unbekannt	NaN	unbekannt	NaN	unbekannt
2026-03-18T17:46:13	61117.698772	2026-03-18T16:46:13Z	NaN	unbekannt	NaN	unbekannt	NaN	unbekannt
