ISO_lokal	MJD	UTC	CENT	CENT_status	CENT_kal	DOOR	DOOR_status	DOOR_kal	BA	BA_status	BA_kal
2026-03-22T00:03:32	61120.960798	2026-03-21T23:03:32Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-22T00:03:37	61120.960856	2026-03-21T23:03:37Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-22T00:03:42	61120.960914	2026-03-21T23:03:42Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-22T00:03:47	61120.960972	2026-03-21T23:03:47Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-22T00:03:52	61120.961029	2026-03-21T23:03:52Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-22T00:03:57	61120.961087	2026-03-21T23:03:57Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-22T00:04:02	61120.961145	2026-03-21T23:04:02Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-22T00:04:07	61120.961204	2026-03-21T23:04:07Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-22T00:04:12	61120.961261	2026-03-21T23:04:12Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-22T00:04:17	61120.961319	2026-03-21T23:04:17Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-22T00:04:22	61120.961377	2026-03-21T23:04:22Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-22T00:04:27	61120.961434	2026-03-21T23:04:27Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-22T00:04:32	61120.961493	2026-03-21T23:04:32Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-22T00:04:37	61120.961550	2026-03-21T23:04:37Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-22T00:04:42	61120.961608	2026-03-21T23:04:42Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-22T00:04:47	61120.961666	2026-03-21T23:04:47Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-22T00:04:52	61120.961724	2026-03-21T23:04:52Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-22T00:04:57	61120.961782	2026-03-21T23:04:57Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-22T00:05:02	61120.961840	2026-03-21T23:05:02Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-22T00:05:07	61120.961898	2026-03-21T23:05:07Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-22T00:05:12	61120.961955	2026-03-21T23:05:12Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-22T00:05:17	61120.962013	2026-03-21T23:05:17Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-22T00:05:22	61120.962071	2026-03-21T23:05:22Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-22T00:05:27	61120.962129	2026-03-21T23:05:27Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-22T00:05:32	61120.962187	2026-03-21T23:05:32Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-22T00:05:37	61120.962244	2026-03-21T23:05:37Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-22T00:05:42	61120.962303	2026-03-21T23:05:42Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-22T00:05:47	61120.962360	2026-03-21T23:05:47Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-22T00:05:52	61120.962418	2026-03-21T23:05:52Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-22T00:05:57	61120.962476	2026-03-21T23:05:57Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-22T00:06:02	61120.962534	2026-03-21T23:06:02Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-22T00:06:07	61120.962592	2026-03-21T23:06:07Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-22T00:06:12	61120.962650	2026-03-21T23:06:12Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-22T00:06:17	61120.962708	2026-03-21T23:06:17Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-22T00:06:22	61120.962766	2026-03-21T23:06:22Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-22T00:06:27	61120.962824	2026-03-21T23:06:27Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-22T00:06:32	61120.962881	2026-03-21T23:06:32Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-22T00:06:37	61120.962939	2026-03-21T23:06:37Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-22T00:06:42	61120.962998	2026-03-21T23:06:42Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-22T00:06:47	61120.963055	2026-03-21T23:06:47Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-22T00:06:52	61120.963113	2026-03-21T23:06:52Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-22T00:06:57	61120.963171	2026-03-21T23:06:57Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-22T00:07:02	61120.963229	2026-03-21T23:07:02Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-22T00:07:07	61120.963286	2026-03-21T23:07:07Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-22T00:07:12	61120.963344	2026-03-21T23:07:12Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-22T00:07:17	61120.963402	2026-03-21T23:07:17Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-22T00:07:22	61120.963460	2026-03-21T23:07:22Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-22T00:07:27	61120.963518	2026-03-21T23:07:27Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-22T00:07:32	61120.963576	2026-03-21T23:07:32Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-22T00:07:37	61120.963634	2026-03-21T23:07:37Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
