ISO_lokal	MJD	UTC	Kryo 1 In	Kryo 1	Kryo 1b	Peltier	Peltier b	Kryo 2 In	Kryo 2	Kryo 2b	Kryo 3 In	Kryo 3	Kryo 3b	Kryo 4 In	Kryo 4	Kryo 4b	Kryo 5 In	Kryo 5	Kryo 5b	Kryo 6 In	Kryo 6	Kryo 6b	Kryo 7 In	Kryo 7	Kryo 9	Kryo 9b	Kryo 8 In	Kryo 8
2026-03-23T00:00:03	61121.958376	2026-03-22T23:00:03Z	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	282.1	287.8	294.4	294.3	NaN	287.2	287.7	294.9	291.5	296.3	295.5	295.3	295.4	294.7	NaN	NaN	295.5	294.7
2026-03-23T00:00:08	61121.958434	2026-03-22T23:00:08Z	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	282.1	287.8	294.4	294.4	NaN	287.2	287.7	294.9	291.5	296.3	295.5	295.3	295.4	294.7	NaN	NaN	295.5	294.7
2026-03-23T00:00:13	61121.958492	2026-03-22T23:00:13Z	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	282.1	287.8	294.4	294.3	NaN	287.2	287.7	294.9	291.5	296.3	295.5	295.3	295.4	294.7	NaN	NaN	295.5	294.7
2026-03-23T00:00:18	61121.958549	2026-03-22T23:00:18Z	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	282.1	287.8	294.4	294.4	NaN	287.2	287.7	294.9	291.5	296.3	295.5	295.3	295.4	294.7	NaN	NaN	295.5	294.7
2026-03-23T00:00:23	61121.958607	2026-03-22T23:00:23Z	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	282.1	287.8	294.4	294.3	NaN	287.2	287.7	294.9	291.5	296.3	295.5	295.3	295.4	294.7	NaN	NaN	295.5	294.7
2026-03-23T00:00:28	61121.958665	2026-03-22T23:00:28Z	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	282.1	287.8	294.4	294.3	NaN	287.2	287.7	294.9	291.5	296.3	295.5	295.3	295.4	294.7	NaN	NaN	295.5	294.7
2026-03-23T00:00:33	61121.958723	2026-03-22T23:00:33Z	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	282.1	287.8	294.4	294.3	NaN	287.2	287.7	294.9	291.5	296.3	295.5	295.3	295.4	294.7	NaN	NaN	295.5	294.7
2026-03-23T00:00:38	61121.958781	2026-03-22T23:00:38Z	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	282.1	287.8	294.4	294.4	NaN	287.2	287.7	294.9	291.5	296.3	295.5	295.3	295.4	294.7	NaN	NaN	295.5	294.7
2026-03-23T00:00:43	61121.958839	2026-03-22T23:00:43Z	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	282.1	287.8	294.4	294.4	NaN	287.2	287.7	294.9	291.5	296.3	295.5	295.3	295.4	294.7	NaN	NaN	295.5	294.7
2026-03-23T00:00:48	61121.958897	2026-03-22T23:00:48Z	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	282.1	287.8	294.4	294.4	NaN	287.2	287.7	294.9	291.5	296.3	295.5	295.3	295.4	294.7	NaN	NaN	295.5	294.7
2026-03-23T00:00:53	61121.958955	2026-03-22T23:00:53Z	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	282.1	287.8	294.4	294.3	NaN	287.2	287.7	294.9	291.5	296.3	295.5	295.3	295.4	294.7	NaN	NaN	295.5	294.7
2026-03-23T00:00:58	61121.959013	2026-03-22T23:00:58Z	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	282.1	287.8	294.4	294.3	NaN	287.2	287.7	294.9	291.5	296.3	295.5	295.3	295.4	294.7	NaN	NaN	295.5	294.7
2026-03-23T00:01:03	61121.959070	2026-03-22T23:01:03Z	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	282.1	287.8	294.4	294.3	NaN	287.2	287.7	294.9	291.5	296.3	295.5	295.3	295.4	294.7	NaN	NaN	295.5	294.7
