ISO_lokal	MJD	UTC	CENT	CENT_status	DOOR	DOOR_status	BA	BA_status
2026-03-20T07:37:50	61119.276284	2026-03-20T06:37:50Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:37:55	61119.276342	2026-03-20T06:37:55Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:38:00	61119.276399	2026-03-20T06:38:00Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:38:05	61119.276458	2026-03-20T06:38:05Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:38:10	61119.276515	2026-03-20T06:38:10Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:38:15	61119.276574	2026-03-20T06:38:15Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:38:20	61119.276631	2026-03-20T06:38:20Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:38:25	61119.276689	2026-03-20T06:38:25Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:38:30	61119.276747	2026-03-20T06:38:30Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:39:13	61119.277236	2026-03-20T06:39:13Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:39:15	61119.277263	2026-03-20T06:39:15Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:39:20	61119.277321	2026-03-20T06:39:20Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:39:25	61119.277379	2026-03-20T06:39:25Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:39:30	61119.277436	2026-03-20T06:39:30Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:39:35	61119.277494	2026-03-20T06:39:35Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:39:40	61119.277552	2026-03-20T06:39:40Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:39:45	61119.277610	2026-03-20T06:39:45Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:39:50	61119.277668	2026-03-20T06:39:50Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:42:17	61119.279369	2026-03-20T06:42:17Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:42:19	61119.279398	2026-03-20T06:42:19Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:42:24	61119.279455	2026-03-20T06:42:24Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:42:29	61119.279513	2026-03-20T06:42:29Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:42:34	61119.279571	2026-03-20T06:42:34Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:42:39	61119.279629	2026-03-20T06:42:39Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:42:44	61119.279687	2026-03-20T06:42:44Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:42:49	61119.279745	2026-03-20T06:42:49Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:42:54	61119.279803	2026-03-20T06:42:54Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:42:59	61119.279860	2026-03-20T06:42:59Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:43:04	61119.279918	2026-03-20T06:43:04Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:43:09	61119.279976	2026-03-20T06:43:09Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:43:14	61119.280034	2026-03-20T06:43:14Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:43:19	61119.280092	2026-03-20T06:43:19Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:43:24	61119.280150	2026-03-20T06:43:24Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:43:29	61119.280208	2026-03-20T06:43:29Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:43:34	61119.280266	2026-03-20T06:43:34Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:43:39	61119.280323	2026-03-20T06:43:39Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:43:44	61119.280382	2026-03-20T06:43:44Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:43:49	61119.280439	2026-03-20T06:43:49Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:43:54	61119.280497	2026-03-20T06:43:54Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:44:08	61119.280654	2026-03-20T06:44:08Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:44:10	61119.280682	2026-03-20T06:44:10Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:44:15	61119.280740	2026-03-20T06:44:15Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:44:20	61119.280798	2026-03-20T06:44:20Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:44:25	61119.280856	2026-03-20T06:44:25Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
