ISO_lokal	MJD	UTC	CENT	CENT_status	CENT_kal	DOOR	DOOR_status	DOOR_kal	BA	BA_status	BA_kal
2026-03-26T00:00:03	61124.958369	2026-03-25T23:00:03Z	NaN	unbekannt	NaN	4.18E-07	OK	7.66E-07	3.99E-07	OK	NaN
2026-03-26T00:00:08	61124.958427	2026-03-25T23:00:08Z	NaN	unbekannt	NaN	4.18E-07	OK	7.66E-07	4.01E-07	OK	NaN
2026-03-26T00:00:13	61124.958485	2026-03-25T23:00:13Z	NaN	unbekannt	NaN	4.18E-07	OK	7.66E-07	4.00E-07	OK	NaN
2026-03-26T00:00:18	61124.958543	2026-03-25T23:00:18Z	NaN	unbekannt	NaN	4.19E-07	OK	7.66E-07	4.01E-07	OK	NaN
2026-03-26T00:00:23	61124.958601	2026-03-25T23:00:23Z	NaN	unbekannt	NaN	4.18E-07	OK	7.66E-07	4.01E-07	OK	NaN
2026-03-26T00:00:28	61124.958659	2026-03-25T23:00:28Z	NaN	unbekannt	NaN	4.19E-07	OK	7.66E-07	4.00E-07	OK	NaN
2026-03-26T00:00:33	61124.958716	2026-03-25T23:00:33Z	NaN	unbekannt	NaN	4.18E-07	OK	7.66E-07	4.01E-07	OK	NaN
2026-03-26T00:00:38	61124.958775	2026-03-25T23:00:38Z	NaN	unbekannt	NaN	4.19E-07	OK	7.66E-07	4.01E-07	OK	NaN
2026-03-26T00:00:43	61124.958832	2026-03-25T23:00:43Z	NaN	unbekannt	NaN	4.19E-07	OK	7.67E-07	4.00E-07	OK	NaN
2026-03-26T00:00:48	61124.958890	2026-03-25T23:00:48Z	NaN	unbekannt	NaN	4.19E-07	OK	7.66E-07	4.01E-07	OK	NaN
2026-03-26T00:00:53	61124.958948	2026-03-25T23:00:53Z	NaN	unbekannt	NaN	4.19E-07	OK	7.66E-07	4.01E-07	OK	NaN
2026-03-26T00:00:58	61124.959006	2026-03-25T23:00:58Z	NaN	unbekannt	NaN	4.20E-07	OK	7.68E-07	4.00E-07	OK	NaN
2026-03-26T00:01:03	61124.959064	2026-03-25T23:01:03Z	NaN	unbekannt	NaN	4.19E-07	OK	7.66E-07	4.01E-07	OK	NaN
2026-03-26T00:01:08	61124.959122	2026-03-25T23:01:08Z	NaN	unbekannt	NaN	4.19E-07	OK	7.67E-07	4.01E-07	OK	NaN
2026-03-26T00:01:13	61124.959179	2026-03-25T23:01:13Z	NaN	unbekannt	NaN	4.19E-07	OK	7.67E-07	4.01E-07	OK	NaN
2026-03-26T00:01:18	61124.959237	2026-03-25T23:01:18Z	NaN	unbekannt	NaN	4.20E-07	OK	7.69E-07	4.01E-07	OK	NaN
2026-03-26T00:01:23	61124.959295	2026-03-25T23:01:23Z	NaN	unbekannt	NaN	4.19E-07	OK	7.66E-07	4.01E-07	OK	NaN
2026-03-26T00:01:28	61124.959353	2026-03-25T23:01:28Z	NaN	unbekannt	NaN	4.20E-07	OK	7.68E-07	4.01E-07	OK	NaN
2026-03-26T00:01:33	61124.959411	2026-03-25T23:01:33Z	NaN	unbekannt	NaN	4.20E-07	OK	7.68E-07	4.01E-07	OK	NaN
2026-03-26T00:01:38	61124.959469	2026-03-25T23:01:38Z	NaN	unbekannt	NaN	4.20E-07	OK	7.69E-07	4.02E-07	OK	NaN
2026-03-26T00:01:43	61124.959527	2026-03-25T23:01:43Z	NaN	unbekannt	NaN	4.20E-07	OK	7.69E-07	4.01E-07	OK	NaN
2026-03-26T00:01:48	61124.959585	2026-03-25T23:01:48Z	NaN	unbekannt	NaN	4.20E-07	OK	7.69E-07	4.01E-07	OK	NaN
2026-03-26T00:01:53	61124.959642	2026-03-25T23:01:53Z	NaN	unbekannt	NaN	4.20E-07	OK	7.68E-07	4.02E-07	OK	NaN
2026-03-26T00:01:58	61124.959700	2026-03-25T23:01:58Z	NaN	unbekannt	NaN	4.21E-07	OK	7.70E-07	4.02E-07	OK	NaN
2026-03-26T00:02:03	61124.959758	2026-03-25T23:02:03Z	NaN	unbekannt	NaN	4.20E-07	OK	7.69E-07	4.03E-07	OK	NaN
2026-03-26T00:02:08	61124.959816	2026-03-25T23:02:08Z	NaN	unbekannt	NaN	4.21E-07	OK	7.70E-07	4.03E-07	OK	NaN
2026-03-26T00:02:13	61124.959874	2026-03-25T23:02:13Z	NaN	unbekannt	NaN	4.20E-07	OK	7.69E-07	4.03E-07	OK	NaN
2026-03-26T00:02:18	61124.959932	2026-03-25T23:02:18Z	NaN	unbekannt	NaN	4.21E-07	OK	7.70E-07	4.02E-07	OK	NaN
2026-03-26T00:02:23	61124.959990	2026-03-25T23:02:23Z	NaN	unbekannt	NaN	4.20E-07	OK	7.69E-07	4.02E-07	OK	NaN
2026-03-26T00:02:28	61124.960048	2026-03-25T23:02:28Z	NaN	unbekannt	NaN	4.21E-07	OK	7.70E-07	4.02E-07	OK	NaN
2026-03-26T00:02:33	61124.960105	2026-03-25T23:02:33Z	NaN	unbekannt	NaN	4.20E-07	OK	7.69E-07	4.03E-07	OK	NaN
2026-03-26T00:02:38	61124.960163	2026-03-25T23:02:38Z	NaN	unbekannt	NaN	4.20E-07	OK	7.69E-07	4.03E-07	OK	NaN
