ISO_lokal	MJD	UTC	CENT	CENT_status	CENT_kal	DOOR	DOOR_status	DOOR_kal	BA	BA_status	BA_kal
2026-03-25T00:00:00	61123.958342	2026-03-24T23:00:00Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-25T00:00:05	61123.958399	2026-03-24T23:00:05Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-25T00:00:10	61123.958458	2026-03-24T23:00:10Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-25T00:00:15	61123.958516	2026-03-24T23:00:15Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-25T00:00:20	61123.958573	2026-03-24T23:00:20Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-25T00:00:25	61123.958631	2026-03-24T23:00:25Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-25T00:00:30	61123.958689	2026-03-24T23:00:30Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-25T00:00:35	61123.958747	2026-03-24T23:00:35Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-25T00:00:40	61123.958805	2026-03-24T23:00:40Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-25T00:00:45	61123.958863	2026-03-24T23:00:45Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-25T00:00:50	61123.958921	2026-03-24T23:00:50Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-25T00:00:55	61123.958979	2026-03-24T23:00:55Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-25T00:01:00	61123.959036	2026-03-24T23:01:00Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-25T00:01:05	61123.959094	2026-03-24T23:01:05Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-25T00:01:10	61123.959152	2026-03-24T23:01:10Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
