ISO_lokal	MJD	UTC	Kryo 1 In	Kryo 1	Kryo 1b	Peltier	Peltier b	Kryo 2 In	Kryo 2	Kryo 2b	Kryo 3 In	Kryo 3	Kryo 3b	Kryo 4 In	Kryo 4	Kryo 4b	Kryo 5 In	Kryo 5	Kryo 5b	Kryo 6 In	Kryo 6	Kryo 6b	Kryo 7 In	Kryo 7	Kryo 9	Kryo 9b	Kryo 8 In	Kryo 8
2026-03-21T00:00:01	61119.958353	2026-03-20T23:00:01Z	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	282.4	288.1	294.7	294.6	NaN	287.6	288.0	295.2	291.8	296.6	295.9	295.6	295.6	295.0	NaN	NaN	295.8	295.0
2026-03-21T00:00:06	61119.958411	2026-03-20T23:00:06Z	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	282.4	288.1	294.7	294.7	NaN	287.6	288.0	295.2	291.8	296.6	295.9	295.6	295.6	295.0	NaN	NaN	295.8	295.0
2026-03-21T00:00:11	61119.958469	2026-03-20T23:00:11Z	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	282.4	288.1	294.7	294.6	NaN	287.6	288.0	295.2	291.8	296.7	295.9	295.6	295.7	295.0	NaN	NaN	295.8	295.0
2026-03-21T00:00:16	61119.958527	2026-03-20T23:00:16Z	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	282.4	288.1	294.7	294.7	NaN	287.6	288.0	295.2	291.8	296.6	295.8	295.6	295.7	295.0	NaN	NaN	295.8	295.0
2026-03-21T00:00:21	61119.958585	2026-03-20T23:00:21Z	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	282.4	288.1	294.7	294.7	NaN	287.6	288.0	295.2	291.8	296.6	295.8	295.6	295.6	295.0	NaN	NaN	295.8	294.9
2026-03-21T00:00:26	61119.958643	2026-03-20T23:00:26Z	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	282.4	288.1	294.7	294.6	NaN	287.6	288.0	295.2	291.8	296.7	295.8	295.6	295.7	295.0	NaN	NaN	295.8	295.0
2026-03-21T00:00:31	61119.958701	2026-03-20T23:00:31Z	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	282.4	288.1	294.7	294.6	NaN	287.6	288.0	295.2	291.8	296.6	295.9	295.6	295.6	295.0	NaN	NaN	295.8	295.0
2026-03-21T00:00:36	61119.958759	2026-03-20T23:00:36Z	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	282.4	288.1	294.7	294.7	NaN	287.6	288.0	295.2	291.8	296.6	295.9	295.6	295.7	295.0	NaN	NaN	295.8	295.0
2026-03-21T00:00:41	61119.958816	2026-03-20T23:00:41Z	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	282.4	288.1	294.7	294.6	NaN	287.6	288.0	295.2	291.8	296.7	295.8	295.6	295.6	295.0	NaN	NaN	295.8	295.0
2026-03-21T00:00:46	61119.958874	2026-03-20T23:00:46Z	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	282.4	288.1	294.7	294.7	NaN	287.6	288.0	295.2	291.8	296.6	295.8	295.6	295.6	295.0	NaN	NaN	295.8	295.0
2026-03-21T00:00:51	61119.958932	2026-03-20T23:00:51Z	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	282.4	288.1	294.7	294.7	NaN	287.6	288.0	295.2	291.8	296.7	295.8	295.6	295.6	295.0	NaN	NaN	295.8	295.0
2026-03-21T00:00:56	61119.958990	2026-03-20T23:00:56Z	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	282.4	288.1	294.7	294.7	NaN	287.6	288.0	295.2	291.8	296.6	295.9	295.6	295.7	295.0	NaN	NaN	295.8	295.0
2026-03-21T00:01:01	61119.959048	2026-03-20T23:01:01Z	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	282.4	288.1	294.7	294.7	NaN	287.6	288.0	295.2	291.8	296.7	295.9	295.6	295.6	294.9	NaN	NaN	295.8	295.0
2026-03-21T00:01:06	61119.959106	2026-03-20T23:01:06Z	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	282.4	288.1	294.7	294.6	NaN	287.6	288.0	295.2	291.8	296.7	295.9	295.6	295.6	295.0	NaN	NaN	295.8	295.0
2026-03-21T00:01:11	61119.959164	2026-03-20T23:01:11Z	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	282.4	288.1	294.7	294.7	NaN	287.6	288.0	295.2	291.8	296.6	295.8	295.6	295.7	294.9	NaN	NaN	295.8	295.0
2026-03-21T00:01:16	61119.959222	2026-03-20T23:01:16Z	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	282.4	288.1	294.7	294.7	NaN	287.6	288.0	295.2	291.8	296.7	295.8	295.6	295.6	294.9	NaN	NaN	295.8	295.0
2026-03-21T00:01:21	61119.959279	2026-03-20T23:01:21Z	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	282.4	288.1	294.7	294.6	NaN	287.6	288.0	295.2	291.8	296.6	295.9	295.6	295.6	294.9	NaN	NaN	295.8	295.0
2026-03-21T00:01:26	61119.959337	2026-03-20T23:01:26Z	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	282.4	288.1	294.7	294.7	NaN	287.6	288.0	295.2	291.8	296.6	295.8	295.6	295.6	295.0	NaN	NaN	295.8	295.0
2026-03-21T00:01:31	61119.959395	2026-03-20T23:01:31Z	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	282.4	288.1	294.7	294.6	NaN	287.6	288.0	295.2	291.8	296.7	295.9	295.6	295.7	295.0	NaN	NaN	295.8	294.9
2026-03-21T00:01:36	61119.959453	2026-03-20T23:01:36Z	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	282.4	288.1	294.7	294.7	NaN	287.6	288.0	295.2	291.8	296.6	295.8	295.6	295.6	295.0	NaN	NaN	295.8	295.0
2026-03-21T00:01:41	61119.959511	2026-03-20T23:01:41Z	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	282.4	288.1	294.7	294.7	NaN	287.6	288.0	295.2	291.8	296.7	295.8	295.6	295.6	295.0	NaN	NaN	295.8	295.0
2026-03-21T00:01:46	61119.959569	2026-03-20T23:01:46Z	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	282.4	288.1	294.7	294.7	NaN	287.6	288.0	295.2	291.8	296.7	295.9	295.6	295.6	295.0	NaN	NaN	295.8	295.0
2026-03-21T00:01:51	61119.959627	2026-03-20T23:01:51Z	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	282.4	288.1	294.7	294.7	NaN	287.6	288.0	295.2	291.8	296.6	295.8	295.6	295.6	295.0	NaN	NaN	295.8	295.0
2026-03-21T00:01:56	61119.959685	2026-03-20T23:01:56Z	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	282.4	288.1	294.7	294.6	NaN	287.6	288.0	295.2	291.8	296.7	295.9	295.6	295.7	295.0	NaN	NaN	295.8	294.9
2026-03-21T00:02:01	61119.959742	2026-03-20T23:02:01Z	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	282.4	288.1	294.7	294.7	NaN	287.6	288.0	295.2	291.8	296.7	295.8	295.6	295.6	295.0	NaN	NaN	295.8	295.0
2026-03-21T00:02:06	61119.959800	2026-03-20T23:02:06Z	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	282.4	288.1	294.7	294.6	NaN	287.6	288.0	295.2	291.8	296.6	295.8	295.6	295.6	295.0	NaN	NaN	295.8	295.0
2026-03-21T00:02:11	61119.959858	2026-03-20T23:02:11Z	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	282.4	288.1	294.7	294.7	NaN	287.6	288.0	295.2	291.8	296.7	295.9	295.6	295.6	295.0	NaN	NaN	295.8	295.0
2026-03-21T00:02:16	61119.959916	2026-03-20T23:02:16Z	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	282.4	288.1	294.7	294.7	NaN	287.6	288.0	295.2	291.8	296.6	295.8	295.6	295.6	295.0	NaN	NaN	295.8	295.0
2026-03-21T00:02:21	61119.959974	2026-03-20T23:02:21Z	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	282.4	288.1	294.7	294.6	NaN	287.6	288.0	295.2	291.8	296.6	295.9	295.6	295.6	295.0	NaN	NaN	295.8	295.0
2026-03-21T00:02:26	61119.960032	2026-03-20T23:02:26Z	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	282.4	288.1	294.7	294.7	NaN	287.6	288.0	295.2	291.8	296.7	295.8	295.6	295.6	295.0	NaN	NaN	295.7	294.9
2026-03-21T00:02:31	61119.960090	2026-03-20T23:02:31Z	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	282.4	288.1	294.7	294.6	NaN	287.6	288.0	295.2	291.8	296.6	295.9	295.6	295.6	295.0	NaN	NaN	295.8	295.0
2026-03-21T00:02:36	61119.960147	2026-03-20T23:02:36Z	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	282.4	288.1	294.7	294.7	NaN	287.6	288.0	295.2	291.8	296.7	295.9	295.6	295.7	295.0	NaN	NaN	295.8	295.0
