ISO_lokal	MJD	UTC	CENT	CENT_status	CENT_kal	DOOR	DOOR_status	DOOR_kal	BA	BA_status	BA_kal
2026-03-23T00:00:03	61121.958378	2026-03-22T23:00:03Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-23T00:00:08	61121.958436	2026-03-22T23:00:08Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-23T00:00:13	61121.958494	2026-03-22T23:00:13Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-23T00:00:18	61121.958552	2026-03-22T23:00:18Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-23T00:00:23	61121.958610	2026-03-22T23:00:23Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-23T00:00:28	61121.958668	2026-03-22T23:00:28Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-23T00:00:33	61121.958726	2026-03-22T23:00:33Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-23T00:00:38	61121.958785	2026-03-22T23:00:38Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-23T00:00:43	61121.958842	2026-03-22T23:00:43Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-23T00:00:48	61121.958900	2026-03-22T23:00:48Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-23T00:00:53	61121.958957	2026-03-22T23:00:53Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-23T00:00:58	61121.959015	2026-03-22T23:00:58Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-23T00:01:03	61121.959074	2026-03-22T23:01:03Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-23T00:01:08	61121.959131	2026-03-22T23:01:08Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-23T00:01:13	61121.959189	2026-03-22T23:01:13Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-23T00:01:18	61121.959247	2026-03-22T23:01:18Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-23T00:01:23	61121.959305	2026-03-22T23:01:23Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-23T00:01:28	61121.959363	2026-03-22T23:01:28Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-23T00:01:33	61121.959421	2026-03-22T23:01:33Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-23T00:01:38	61121.959479	2026-03-22T23:01:38Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-23T00:01:43	61121.959536	2026-03-22T23:01:43Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-23T00:01:48	61121.959594	2026-03-22T23:01:48Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-23T00:01:53	61121.959651	2026-03-22T23:01:53Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-23T00:01:58	61121.959710	2026-03-22T23:01:58Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-23T00:02:03	61121.959767	2026-03-22T23:02:03Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-23T00:02:08	61121.959825	2026-03-22T23:02:08Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-23T00:02:13	61121.959884	2026-03-22T23:02:13Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-23T00:02:18	61121.959941	2026-03-22T23:02:18Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-23T00:02:23	61121.959999	2026-03-22T23:02:23Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-23T00:02:28	61121.960057	2026-03-22T23:02:28Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
2026-03-23T00:02:33	61121.960115	2026-03-22T23:02:33Z	NaN	unbekannt	NaN	NaN	Overrange	NaN	NaN	Overrange	NaN
