ISO_lokal	MJD	UTC	CENT	CENT_status	CENT_kal	DOOR	DOOR_status	DOOR_kal	BA	BA_status	BA_kal
2026-03-28T00:00:04	61126.958381	2026-03-27T23:00:04Z	2.46E-06	OK	NaN	3.03E-06	OK	4.40E-06	4.45E-06	OK	NaN
2026-03-28T00:00:09	61126.958438	2026-03-27T23:00:09Z	2.46E-06	OK	NaN	3.04E-06	OK	4.41E-06	4.46E-06	OK	NaN
2026-03-28T00:00:14	61126.958496	2026-03-27T23:00:14Z	2.46E-06	OK	NaN	3.04E-06	OK	4.41E-06	4.44E-06	OK	NaN
2026-03-28T00:00:19	61126.958554	2026-03-27T23:00:19Z	2.46E-06	OK	NaN	3.02E-06	OK	4.39E-06	4.44E-06	OK	NaN
2026-03-28T00:00:24	61126.958613	2026-03-27T23:00:24Z	2.45E-06	OK	NaN	3.03E-06	OK	4.40E-06	4.44E-06	OK	NaN
2026-03-28T00:00:29	61126.958671	2026-03-27T23:00:29Z	2.46E-06	OK	NaN	3.03E-06	OK	4.40E-06	4.44E-06	OK	NaN
2026-03-28T00:00:34	61126.958728	2026-03-27T23:00:34Z	2.46E-06	OK	NaN	3.02E-06	OK	4.39E-06	4.45E-06	OK	NaN
2026-03-28T00:00:39	61126.958785	2026-03-27T23:00:39Z	2.46E-06	OK	NaN	3.04E-06	OK	4.41E-06	4.44E-06	OK	NaN
2026-03-28T00:00:44	61126.958844	2026-03-27T23:00:44Z	2.46E-06	OK	NaN	3.03E-06	OK	4.40E-06	4.45E-06	OK	NaN
2026-03-28T00:00:49	61126.958902	2026-03-27T23:00:49Z	2.46E-06	OK	NaN	3.02E-06	OK	4.39E-06	4.44E-06	OK	NaN
2026-03-28T00:00:54	61126.958960	2026-03-27T23:00:54Z	2.46E-06	OK	NaN	3.04E-06	OK	4.41E-06	4.45E-06	OK	NaN
2026-03-28T00:00:59	61126.959017	2026-03-27T23:00:59Z	2.46E-06	OK	NaN	3.03E-06	OK	4.40E-06	4.44E-06	OK	NaN
