ISO_lokal	MJD	UTC	CENT	CENT_status	CENT_kal	DOOR	DOOR_status	DOOR_kal	BA	BA_status	BA_kal
2026-03-27T00:00:04	61125.958382	2026-03-26T23:00:04Z	1.83E-07	OK	NaN	1.99E-07	OK	4.03E-07	1.99E-07	OK	NaN
2026-03-27T00:00:09	61125.958440	2026-03-26T23:00:09Z	1.83E-07	OK	NaN	1.99E-07	OK	4.03E-07	1.99E-07	OK	NaN
2026-03-27T00:00:14	61125.958498	2026-03-26T23:00:14Z	1.82E-07	OK	NaN	1.99E-07	OK	4.03E-07	1.99E-07	OK	NaN
2026-03-27T00:00:19	61125.958556	2026-03-26T23:00:19Z	1.83E-07	OK	NaN	2.00E-07	OK	4.04E-07	1.99E-07	OK	NaN
2026-03-27T00:00:24	61125.958614	2026-03-26T23:00:24Z	1.83E-07	OK	NaN	2.00E-07	OK	4.03E-07	1.99E-07	OK	NaN
2026-03-27T00:00:29	61125.958672	2026-03-26T23:00:29Z	1.83E-07	OK	NaN	1.99E-07	OK	4.03E-07	1.99E-07	OK	NaN
2026-03-27T00:00:34	61125.958729	2026-03-26T23:00:34Z	1.82E-07	OK	NaN	1.99E-07	OK	4.03E-07	1.99E-07	OK	NaN
2026-03-27T00:00:39	61125.958787	2026-03-26T23:00:39Z	1.83E-07	OK	NaN	1.99E-07	OK	4.03E-07	1.99E-07	OK	NaN
2026-03-27T00:00:44	61125.958845	2026-03-26T23:00:44Z	1.82E-07	OK	NaN	2.00E-07	OK	4.03E-07	1.99E-07	OK	NaN
2026-03-27T00:00:49	61125.958903	2026-03-26T23:00:49Z	1.83E-07	OK	NaN	2.00E-07	OK	4.03E-07	1.99E-07	OK	NaN
2026-03-27T00:00:54	61125.958961	2026-03-26T23:00:54Z	1.83E-07	OK	NaN	1.99E-07	OK	4.03E-07	1.99E-07	OK	NaN
2026-03-27T00:00:59	61125.959019	2026-03-26T23:00:59Z	1.83E-07	OK	NaN	2.00E-07	OK	4.04E-07	1.99E-07	OK	NaN
2026-03-27T00:01:04	61125.959076	2026-03-26T23:01:04Z	1.83E-07	OK	NaN	2.00E-07	OK	4.03E-07	1.99E-07	OK	NaN
2026-03-27T00:01:09	61125.959135	2026-03-26T23:01:09Z	1.83E-07	OK	NaN	1.99E-07	OK	4.03E-07	1.99E-07	OK	NaN
