ISO_lokal	MJD	UTC	CENT	CENT_status	DOOR	DOOR_status	BA	BA_status
2026-03-19T00:00:02	61117.958366	2026-03-18T23:00:02Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-19T00:00:07	61117.958424	2026-03-18T23:00:07Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-19T00:00:12	61117.958482	2026-03-18T23:00:12Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-19T00:00:17	61117.958540	2026-03-18T23:00:17Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-19T00:00:22	61117.958597	2026-03-18T23:00:22Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-19T00:00:27	61117.958655	2026-03-18T23:00:27Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-19T00:00:32	61117.958713	2026-03-18T23:00:32Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-19T00:00:37	61117.958771	2026-03-18T23:00:37Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-19T00:00:42	61117.958829	2026-03-18T23:00:42Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-19T00:00:47	61117.958887	2026-03-18T23:00:47Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-19T00:00:52	61117.958945	2026-03-18T23:00:52Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-19T00:00:57	61117.959003	2026-03-18T23:00:57Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-19T00:01:02	61117.959061	2026-03-18T23:01:02Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-19T00:01:07	61117.959118	2026-03-18T23:01:07Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-19T00:01:12	61117.959176	2026-03-18T23:01:12Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-19T00:01:17	61117.959234	2026-03-18T23:01:17Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-19T00:01:22	61117.959291	2026-03-18T23:01:22Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-19T00:01:27	61117.959350	2026-03-18T23:01:27Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-19T00:01:32	61117.959408	2026-03-18T23:01:32Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-19T00:01:37	61117.959466	2026-03-18T23:01:37Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-19T00:01:42	61117.959524	2026-03-18T23:01:42Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-19T00:01:47	61117.959581	2026-03-18T23:01:47Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-19T00:01:52	61117.959639	2026-03-18T23:01:52Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-19T00:01:57	61117.959697	2026-03-18T23:01:57Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-19T00:02:02	61117.959755	2026-03-18T23:02:02Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-19T00:02:07	61117.959813	2026-03-18T23:02:07Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-19T00:02:12	61117.959871	2026-03-18T23:02:12Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-19T00:02:17	61117.959928	2026-03-18T23:02:17Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-19T00:02:22	61117.959986	2026-03-18T23:02:22Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-19T00:02:27	61117.960044	2026-03-18T23:02:27Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-19T00:02:32	61117.960102	2026-03-18T23:02:32Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-19T00:02:37	61117.960160	2026-03-18T23:02:37Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-19T00:02:42	61117.960218	2026-03-18T23:02:42Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-19T00:02:47	61117.960276	2026-03-18T23:02:47Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-19T00:02:52	61117.960334	2026-03-18T23:02:52Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
