ISO_lokal	MJD	UTC	Kryo 1 In	Kryo 1	Kryo 1b	Peltier	Peltier b	Kryo 2 In	Kryo 2	Kryo 2b	Kryo 3 In	Kryo 3	Kryo 3b	Kryo 4 In	Kryo 4	Kryo 4b	Kryo 5 In	Kryo 5	Kryo 5b	Kryo 6 In	Kryo 6	Kryo 6b	Kryo 7 In	Kryo 7	Kryo 9	Kryo 9b	Kryo 8 In	Kryo 8
2026-03-22T00:00:02	61120.958364	2026-03-21T23:00:02Z	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	282.2	287.9	294.5	294.5	NaN	287.4	287.8	295.0	291.6	296.4	295.6	295.4	295.5	294.8	NaN	NaN	295.6	294.8
2026-03-22T00:00:07	61120.958422	2026-03-21T23:00:07Z	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	282.2	287.9	294.5	294.5	NaN	287.4	287.8	295.0	291.6	296.4	295.6	295.4	295.5	294.8	NaN	NaN	295.6	294.8
2026-03-22T00:00:12	61120.958480	2026-03-21T23:00:12Z	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	282.2	287.9	294.5	294.5	NaN	287.4	287.8	295.0	291.6	296.4	295.6	295.4	295.5	294.8	NaN	NaN	295.6	294.8
2026-03-22T00:00:17	61120.958538	2026-03-21T23:00:17Z	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	282.2	287.9	294.5	294.4	NaN	287.4	287.8	295.0	291.6	296.4	295.6	295.4	295.5	294.8	NaN	NaN	295.6	294.8
2026-03-22T00:00:22	61120.958596	2026-03-21T23:00:22Z	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	282.2	287.9	294.5	294.4	NaN	287.4	287.8	295.0	291.6	296.4	295.6	295.4	295.5	294.8	NaN	NaN	295.6	294.8
2026-03-22T00:00:27	61120.958654	2026-03-21T23:00:27Z	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	282.2	287.9	294.5	294.5	NaN	287.4	287.8	295.0	291.6	296.4	295.6	295.4	295.5	294.8	NaN	NaN	295.6	294.8
2026-03-22T00:00:32	61120.958712	2026-03-21T23:00:32Z	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	282.2	287.9	294.5	294.5	NaN	287.4	287.8	295.0	291.6	296.4	295.6	295.4	295.5	294.8	NaN	NaN	295.6	294.8
2026-03-22T00:00:37	61120.958770	2026-03-21T23:00:37Z	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	282.2	287.9	294.5	294.4	NaN	287.4	287.8	295.0	291.6	296.4	295.6	295.4	295.5	294.8	NaN	NaN	295.6	294.8
2026-03-22T00:00:42	61120.958828	2026-03-21T23:00:42Z	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	282.2	287.9	294.5	294.4	NaN	287.4	287.8	295.0	291.6	296.4	295.6	295.4	295.5	294.8	NaN	NaN	295.6	294.8
2026-03-22T00:00:47	61120.958885	2026-03-21T23:00:47Z	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	282.2	287.9	294.5	294.4	NaN	287.4	287.8	295.0	291.6	296.4	295.6	295.4	295.5	294.8	NaN	NaN	295.6	294.8
2026-03-22T00:00:52	61120.958943	2026-03-21T23:00:52Z	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	282.2	287.9	294.5	294.4	NaN	287.4	287.8	295.0	291.6	296.4	295.6	295.4	295.5	294.8	NaN	NaN	295.6	294.8
2026-03-22T00:00:57	61120.959001	2026-03-21T23:00:57Z	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	282.2	287.9	294.5	294.4	NaN	287.4	287.8	295.0	291.6	296.4	295.6	295.4	295.5	294.8	NaN	NaN	295.6	294.8
