Temperature,Resistance
K,Ohm
277.9275344,101.921039211158
274.2417298,100.488521309447
272.8932899,99.9667036291033
270.9819763,99.2237323921893
269.054347,98.4788673812217
267.1016712,97.7230989891149
265.1628288,96.9732044610825
263.1833457,96.2057444024708
261.1438311,95.4156827236385
259.342302,94.733936153355
257.2311867,93.8890097896841
255.301512,93.1350189156133
253.3150548,92.3601829535089
251.3371112,91.5917534209312
249.4355352,90.8568476960302
247.364342,90.0467459741685
245.4241325,89.3599462936163
243.4140936,88.6368719682496
241.5531242,87.889745526866
239.5159364,87.1191225418942
237.5376876,86.394188462193
235.620925,85.653099744636
233.555518,84.827890826299
231.6956174,84.0643370562239
229.6420777,83.2567177601254
227.7117254,82.5206716421276
225.6735051,81.8342218922289
223.8194897,81.0575839819741
221.8411967,80.1697873643326
219.7939316,79.409120571196
217.7729597,78.6011325110862
215.9203368,77.8670461914792
213.7282806,76.9848607799915
211.8761947,76.2394530568557
209.7008659,75.3793174557357
207.9064208,74.6734329845257
205.7550397,73.8127579386443
203.9496656,73.0956535788113
201.806462,72.233171553711
200.0028877,71.5151095882131
197.8445531,70.6451764524872
196.0463972,69.9266971242149
193.8231197,69.0266508353838
192.0930686,68.3316604636789
189.8951012,67.4374755225782
188.1417353,66.7373627286806
185.9254795,65.8334512094144
184.1776468,65.1340794077191
181.9758104,64.232501125582
180.2096378,63.5214195238092
178.0180846,62.6227970233077
176.221634,61.8963895644773
174.025411,60.9990435645447
172.2632765,60.2885485420447
170.0452567,59.3852129733482
168.3000572,58.6851823695074
166.1020618,57.7833965275612
164.3422517,57.0773995958693
162.1043215,56.1802527864821
160.3512035,55.477462010378
158.4506975,54.7014382998345
156.1547352,53.7535445894518
154.3916675,53.0414164350375
152.4670248,52.251575100315
150.4760196,51.4333084041154
148.4881019,50.6187387855197
146.5295125,49.817189216418
144.5308399,48.9957334908098
142.6417661,48.2279506296657
140.2170291,47.2149569066506
138.4626618,46.5019948344952
136.5565576,45.7120224993128
134.5935196,44.9000947157536
132.6143873,44.0796307759964
130.6216547,43.2527085940434
128.7117899,42.4691215923784
126.2686449,41.4328056846298
124.5143233,40.7138182175233
122.5901742,39.9098122400754
120.6134952,39.0855072137869
118.6340181,38.260735953757
116.6373308,37.4249374346206
114.6369185,36.5922225122612
112.6063815,35.7443116866844
110.5575371,34.8955817445609
108.5585709,34.057808419928
106.5447416,33.214207226665
104.5465031,32.3749835946655
102.5453174,31.5324602059035
100.5541877,30.691683130762
98.55081819,29.8503086311185
96.53688208,29.006293749313
94.54169361,28.1736931666035
92.54019238,27.3448298697451
90.54020311,26.5218155115042
88.54533316,25.7040563026155
86.5354895,24.8739729977795
84.54700391,24.0742307481213
82.54075414,23.260619432749
80.46346068,22.4189001234067
78.44825168,21.5906896357144
76.4510486,20.7656429072557
74.48827306,19.9521301834785
73.74092915,19.6830118917079
71.27086555,18.6734284096521
69.53449679,17.9747982847823
67.82644939,17.2959521320836
64.04883648,15.7422403210405
62.16982967,14.9321344875343
60.04269096,14.1317548616927
58.00963754,13.2522255089764
56.00556266,12.4444517876392
54.02081383,11.6457133908418
52.00487652,10.8780938210052
50.01318303,10.1218041679548
48.01774237,9.38019409406881
46.03142671,8.65880962139599
44.03975059,7.99385110629413
42.0578789,7.34682960233046
40.06926262,6.71901156452562
38.07431754,6.13068615272839
35.96954378,5.58960168638066
33.96387388,5.05495338944998
31.99401795,4.59751156325081
30.02548183,4.1911415165726
28.06381495,3.81006431467895
26.11431103,3.48291503606885
24.17733279,3.20639603303024
22.24427097,2.97640915985578
20.32558993,2.73877536400197
20.27577244,2.71803696198019
22.01981846,2.89283790052423
23.94440814,3.12287276253022
25.89144859,3.40257421211609
27.8321194,3.73806027641927
29.80264951,4.09365643465547
31.76593817,4.48532885485744
33.72258882,4.91814997777874
35.68661652,5.39756250373502
37.65096247,5.93779677974805
39.61221049,6.53513291245813
41.57797572,7.15784566175606
43.54758625,7.78289894672216
45.52144827,8.48792688241826
47.49362597,9.18704298652391
49.45288536,9.86858944572044
51.4243086,10.6003512813713
53.40169575,11.345106022521
55.3824508,12.1034439349997
